date_utc,dex_vol_24h
2016-04-19,607
2016-04-20,1728
2016-04-21,3049
2016-04-22,1464
2016-04-23,1242
2016-04-24,690
2016-04-25,5
2016-04-26,1090
2016-04-27,762
2016-04-28,544
2016-04-29,1715
2016-04-30,833
2016-05-01,1615
2016-05-02,1613
2016-05-03,1733
2016-05-04,957
2016-05-05,857
2016-05-06,2225
2016-05-07,230
2016-05-08,675
2016-05-10,1544
2016-05-12,682
2016-05-14,1139
2016-05-15,847
2016-05-16,1174
2016-05-17,1041
2016-05-18,2367
2016-05-19,1192
2016-05-20,221
2016-05-21,992
2016-05-22,1549
2016-05-23,1192
2016-05-24,223
2016-05-25,2872
2016-05-26,3687
2016-05-27,1262
2016-05-28,2035
2016-05-29,1102
2016-05-30,321
2016-05-31,800
2016-06-01,895
2016-06-02,1115
2016-06-03,3537
2016-06-04,1462
2016-06-05,1881
2016-06-06,1018
2016-06-07,756
2016-06-08,350
2016-06-09,1097
2016-06-10,1248
2016-06-11,1937
2016-06-12,1078
2016-06-13,1162
2016-06-14,130
2016-06-15,1976
2016-06-16,268
2016-06-17,1075
2016-06-18,2762
2016-06-20,1542
2016-06-21,1530
2016-06-22,1893
2016-06-23,2337
2016-06-24,132
2016-06-25,1965
2016-06-26,315
2016-06-28,809
2016-06-29,159
2016-06-30,504
2016-07-01,1186
2016-07-02,69
2016-07-03,1868
2016-07-04,749
2016-07-05,694
2016-07-06,1055
2016-07-07,607
2016-07-08,186
2016-07-09,981
2016-07-10,774
2016-07-11,649
2016-07-12,1476
2016-07-13,99
2016-07-14,1154
2016-07-15,1358
2016-07-16,1659
2016-07-17,2795
2016-07-18,472
2016-07-19,843
2016-07-20,735
2016-07-21,1218
2016-07-22,2474
2016-07-23,675
2016-07-24,1090
2016-07-25,296
2016-07-26,1010
2016-07-27,1652
2016-07-28,820
2016-07-29,62
2016-07-30,2750
2016-07-31,1957
2016-08-01,3230
2016-08-02,1647
2016-08-03,3467
2016-08-04,1061
2016-08-05,939
2016-08-06,1446
2016-08-07,640
2016-08-08,4430
2016-08-09,3900
2016-08-10,4193
2016-08-11,17045
2016-08-12,4144
2016-08-13,3050
2016-08-14,3873
2016-08-15,1987
2016-08-16,4909
2016-08-17,3660
2016-08-18,5731
2016-08-19,1720
2016-08-20,2750
2016-08-21,3640
2016-08-22,10876
2016-08-23,6859
2016-08-24,549
2016-08-25,1556
2016-08-26,7828
2016-08-27,4118
2016-08-28,19815
2016-08-29,8879
2016-08-30,5615
2016-08-31,5012
2016-09-01,8574
2016-09-02,2496
2016-09-03,8142
2016-09-04,2770
2016-09-05,4439
2016-09-06,2974
2016-09-07,1757
2016-09-08,2452
2016-09-09,1866
2016-09-10,1011
2016-09-11,617
2016-09-12,2060
2016-09-13,2160
2016-09-14,669
2016-09-15,2779
2016-09-16,1231
2016-09-17,4793
2016-09-18,1193
2016-09-19,1887
2016-09-20,2006
2016-09-21,2353
2016-09-22,1339
2016-09-23,1204
2016-09-24,1714
2016-09-25,619
2016-09-26,2297
2016-09-27,1628
2016-09-28,1630
2016-09-29,2358
2016-09-30,1998
2016-10-01,1197
2016-10-02,1918
2016-10-03,2754
2016-10-04,1889
2016-10-05,1896
2016-10-06,2315
2016-10-07,2788
2016-10-08,2343
2016-10-09,3559
2016-10-10,1843
2016-10-11,4901
2016-10-12,2895
2016-10-13,2665
2016-10-14,1372
2016-10-15,1529
2016-10-16,1316
2016-10-17,1162
2016-10-18,1030
2016-10-19,1894
2016-10-20,3355
2016-10-21,4924
2016-10-22,2299
2016-10-23,3655
2016-10-24,2335
2016-10-25,2813
2016-10-26,1549
2016-10-27,5749
2016-10-28,2613
2016-10-29,4503
2016-10-30,2052
2016-10-31,5721
2016-11-01,6089
2016-11-02,5972
2016-11-03,3736
2016-11-04,5470
2016-11-05,1690
2016-11-06,2525
2016-11-07,11836
2016-11-08,5629
2016-11-09,3720
2016-11-10,2004
2016-11-11,9268
2016-11-12,3808
2016-11-13,3235
2016-11-14,1976
2016-11-15,4270
2016-11-16,2393
2016-11-17,4818
2016-11-18,4229
2016-11-19,6167
2016-11-20,3788
2016-11-21,3797
2016-11-22,4874
2016-11-23,3607
2016-11-24,2616
2016-11-25,1724
2016-11-26,3491
2016-11-27,5829
2016-11-28,4095
2016-11-29,4030
2016-11-30,6644
2016-12-01,5564
2016-12-02,5969
2016-12-03,4957
2016-12-04,3223
2016-12-05,4751
2016-12-06,3001
2016-12-07,4622
2016-12-08,4835
2016-12-09,7036
2016-12-10,4805
2016-12-11,3138
2016-12-12,5481
2016-12-13,4560
2016-12-14,4919
2016-12-15,4207
2016-12-16,4174
2016-12-17,5618
2016-12-18,2958
2016-12-19,6145
2016-12-20,3971
2016-12-21,4987
2016-12-22,8771
2016-12-23,7606
2016-12-24,4168
2016-12-25,1529
2016-12-26,771
2016-12-27,9003
2016-12-28,10309
2016-12-29,2281
2016-12-30,3262
2016-12-31,3156
2017-01-01,4656
2017-01-02,8928
2017-01-03,10963
2017-01-04,16896
2017-01-05,11257
2017-01-06,15155
2017-01-07,8731
2017-01-08,6510
2017-01-09,7143
2017-01-10,6647
2017-01-11,10199
2017-01-12,3597
2017-01-13,11126
2017-01-14,5520
2017-01-15,9884
2017-01-16,9178
2017-01-17,10515
2017-01-18,8310
2017-01-19,7474
2017-01-20,2977
2017-01-21,3827
2017-01-22,4749
2017-01-23,3042
2017-01-24,1862
2017-01-25,2600
2017-01-26,5157
2017-01-27,6969
2017-01-28,2999
2017-01-29,4837
2017-01-30,1725
2017-01-31,8604
2017-02-01,6541
2017-02-02,2409
2017-02-03,7062
2017-02-04,5809
2017-02-05,3847
2017-02-06,7838
2017-02-07,4185
2017-02-08,5191
2017-02-09,1511
2017-02-10,6730
2017-02-11,5162
2017-02-12,2243
2017-02-13,1544
2017-02-14,5951
2017-02-15,6793
2017-02-16,6512
2017-02-17,8326
2017-02-18,4446
2017-02-19,1928
2017-02-20,4391
2017-02-21,6129
2017-02-22,3145
2017-02-23,5228
2017-02-24,5073
2017-02-25,9245
2017-02-26,3769
2017-02-27,4594
2017-02-28,7416
2017-03-01,9275
2017-03-02,15147
2017-03-03,7518
2017-03-04,4852
2017-03-05,3140
2017-03-06,8250
2017-03-07,5137
2017-03-08,4771
2017-03-09,4729
2017-03-10,6193
