timestamp_unix,date_utc,total_circulating_peggedUSD,total_minted_peggedUSD,total_unreleased_peggedUSD
1511913600,2017-11-29,109970,,
1512000000,2017-11-30,109970,,
1512086400,2017-12-01,109970,,
1512172800,2017-12-02,109970,,
1512259200,2017-12-03,109970,,
1512345600,2017-12-04,109970,,
1512432000,2017-12-05,109970,,
1512518400,2017-12-06,109970,,
1512604800,2017-12-07,109970,,
1512691200,2017-12-08,109970,,
1512777600,2017-12-09,109970,,
1512864000,2017-12-10,109970,,
1512950400,2017-12-11,109970,,
1513036800,2017-12-12,109970,,
1513123200,2017-12-13,109970,,
1513209600,2017-12-14,109970,,
1513296000,2017-12-15,109970,,
1513382400,2017-12-16,109970,,
1513468800,2017-12-17,109970,,
1513555200,2017-12-18,109970,,
1513641600,2017-12-19,109970,,
1513728000,2017-12-20,109970,,
1513814400,2017-12-21,109970,,
1513900800,2017-12-22,109970,,
1513987200,2017-12-23,109970,,
1514073600,2017-12-24,109970,,
1514160000,2017-12-25,109970,,
1514246400,2017-12-26,109970,,
1514332800,2017-12-27,109970,,
1514419200,2017-12-28,109970,,
1514505600,2017-12-29,109970,,
1514592000,2017-12-30,109970,,
1514678400,2017-12-31,109970,,
1514764800,2018-01-01,109970,,
1514851200,2018-01-02,109970,,
1514937600,2018-01-03,109970,,
1515024000,2018-01-04,109970,,
1515110400,2018-01-05,109970,,
1515196800,2018-01-06,109970,,
1515283200,2018-01-07,109970,,
1515369600,2018-01-08,109970,,
1515456000,2018-01-09,109970,,
1515542400,2018-01-10,109970,,
1515628800,2018-01-11,30109970,,
1515715200,2018-01-12,30109970,,
1515801600,2018-01-13,30109970,,
1515888000,2018-01-14,30109970,,
1515974400,2018-01-15,30109970,,
1516060800,2018-01-16,30109970,,
1516147200,2018-01-17,30109970,,
1516233600,2018-01-18,30109970,,
1516320000,2018-01-19,30109970,,
1516406400,2018-01-20,30109970,,
1516492800,2018-01-21,30109970,,
1516579200,2018-01-22,30109970,,
1516665600,2018-01-23,30109970,,
1516752000,2018-01-24,30109970,,
1516838400,2018-01-25,30109970,,
1516924800,2018-01-26,30109970,,
1517011200,2018-01-27,30109970,,
1517097600,2018-01-28,30109970,,
1517184000,2018-01-29,60109970,,
1517270400,2018-01-30,60109970,,
1517356800,2018-01-31,60109970,,
1517443200,2018-02-01,60109970,,
1517529600,2018-02-02,60109970,,
1517616000,2018-02-03,60109970,,
1517702400,2018-02-04,60109970,,
1517788800,2018-02-05,60109970,,
1517875200,2018-02-06,60109970,,
1517961600,2018-02-07,60109970,,
1518048000,2018-02-08,60109970,,
1518134400,2018-02-09,60109970,,
1518220800,2018-02-10,60109970,,
1518307200,2018-02-11,60109970,,
1518393600,2018-02-12,60109970,,
1518480000,2018-02-13,60109970,,
1518566400,2018-02-14,60109970,,
1518652800,2018-02-15,60109970,,
1518739200,2018-02-16,60109970,,
1518825600,2018-02-17,60109970,,
1518912000,2018-02-18,60109970,,
1518998400,2018-02-19,60109970,,
1519084800,2018-02-20,60109970,,
1519171200,2018-02-21,60109970,,
1519257600,2018-02-22,60109970,,
1519344000,2018-02-23,60109970,,
1519430400,2018-02-24,60109970,,
1519516800,2018-02-25,60109970,,
1519603200,2018-02-26,60109970,,
1519689600,2018-02-27,60109970,,
1519776000,2018-02-28,60109970,,
1519862400,2018-03-01,60109970,,
1519948800,2018-03-02,60109970,,
1520035200,2018-03-03,60109970,,
1520121600,2018-03-04,60109970,,
1520208000,2018-03-05,60109970,,
1520294400,2018-03-06,60109970,,
1520380800,2018-03-07,60109970,,
1520467200,2018-03-08,60109970,,
1520553600,2018-03-09,60109970,,
1520640000,2018-03-10,60109970,,
1520726400,2018-03-11,60109970,,
1520812800,2018-03-12,60109970,,
1520899200,2018-03-13,60109970,,
1520985600,2018-03-14,60109970,,
1521072000,2018-03-15,60109970,,
1521158400,2018-03-16,60109970,,
1521244800,2018-03-17,60109970,,
1521331200,2018-03-18,60109970,,
1521417600,2018-03-19,60109970,,
1521504000,2018-03-20,60109970,,
1521590400,2018-03-21,60109970,,
1521676800,2018-03-22,60109970,,
1521763200,2018-03-23,60109970,,
1521849600,2018-03-24,60109970,,
1521936000,2018-03-25,60109970,,
1522022400,2018-03-26,60109970,,
1522108800,2018-03-27,60109970,,
1522195200,2018-03-28,60109970,,
1522281600,2018-03-29,60109970,,
1522368000,2018-03-30,60109970,,
1522454400,2018-03-31,60109970,,
1522540800,2018-04-01,60109970,,
1522627200,2018-04-02,60109970,,
1522713600,2018-04-03,60109970,,
1522800000,2018-04-04,60109970,,
1522886400,2018-04-05,60109970,,
1522972800,2018-04-06,60109970,,
1523059200,2018-04-07,60109970,,
1523145600,2018-04-08,60109970,,
1523232000,2018-04-09,60109970,,
1523318400,2018-04-10,60109970,,
1523404800,2018-04-11,60109970,,
1523491200,2018-04-12,60109970,,
1523577600,2018-04-13,60109970,,
1523664000,2018-04-14,60109970,,
1523750400,2018-04-15,60109970,,
1523836800,2018-04-16,60109970,,
1523923200,2018-04-17,60109970,,
1524009600,2018-04-18,60109970,,
1524096000,2018-04-19,60109970,,
1524182400,2018-04-20,60109970,,
1524268800,2018-04-21,60109970,,
1524355200,2018-04-22,60109970,,
1524441600,2018-04-23,60109970,,
1524528000,2018-04-24,60109970,,
1524614400,2018-04-25,60109970,,
1524700800,2018-04-26,60109970,,
1524787200,2018-04-27,60109970,,
1524873600,2018-04-28,60109970,,
1524960000,2018-04-29,60109970,,
1525046400,2018-04-30,60109970,,
1525132800,2018-05-01,60109970,,
1525219200,2018-05-02,60109970,,
1525305600,2018-05-03,60109970,,
1525392000,2018-05-04,60109970,,
1525478400,2018-05-05,60109970,,
1525564800,2018-05-06,60109970,,
1525651200,2018-05-07,60109970,,
1525737600,2018-05-08,60109970,,
1525824000,2018-05-09,60109970,,
1525910400,2018-05-10,60109970,,
1525996800,2018-05-11,60109970,,
1526083200,2018-05-12,60109970,,
1526169600,2018-05-13,60109970,,
1526256000,2018-05-14,60109970,,
1526342400,2018-05-15,60109970,,
1526428800,2018-05-16,60109970,,
1526515200,2018-05-17,60109970,,
1526601600,2018-05-18,60109970,,
1526688000,2018-05-19,60109970,,
1526774400,2018-05-20,60109970,,
1526860800,2018-05-21,60109970,,
1526947200,2018-05-22,60109970,,
1527033600,2018-05-23,60109970,,
1527120000,2018-05-24,60109970,,
1527206400,2018-05-25,60109970,,
1527292800,2018-05-26,60109970,,
1527379200,2018-05-27,60109970,,
1527465600,2018-05-28,60109970,,
1527552000,2018-05-29,60109970,,
1527638400,2018-05-30,60109970,,
1527724800,2018-05-31,60109970,,
1527811200,2018-06-01,60109970,,
1527897600,2018-06-02,60109970,,
1527984000,2018-06-03,60109970,,
1528070400,2018-06-04,60109970,,
1528156800,2018-06-05,60109970,,
1528243200,2018-06-06,60109970,,
1528329600,2018-06-07,60109970,,
1528416000,2018-06-08,60109970,,
1528502400,2018-06-09,60109970,,
1528588800,2018-06-10,60109502,,
1528675200,2018-06-11,60109502,,
1528761600,2018-06-12,60109502,,
1528848000,2018-06-13,60109502,,
1528934400,2018-06-14,60109502,,
1529020800,2018-06-15,60109502,,
1529107200,2018-06-16,60109502,,
1529193600,2018-06-17,60109502,,
1529280000,2018-06-18,60109502,,
1529366400,2018-06-19,60109502,,
1529452800,2018-06-20,60109502,,
1529539200,2018-06-21,60109502,,
1529625600,2018-06-22,60109502,,
1529712000,2018-06-23,60109502,,
1529798400,2018-06-24,60109502,,
1529884800,2018-06-25,60109502,,
1529971200,2018-06-26,60109502,,
1530057600,2018-06-27,60109502,,
1530144000,2018-06-28,60109502,,
1530230400,2018-06-29,60109502,,
1530316800,2018-06-30,60109502,,
1530403200,2018-07-01,60109502,,
1530489600,2018-07-02,60109502,,
1530576000,2018-07-03,60109502,,
1530662400,2018-07-04,60109502,,
1530748800,2018-07-05,60109502,,
1530835200,2018-07-06,60109502,,
1530921600,2018-07-07,60109502,,
1531008000,2018-07-08,60109502,,
1531094400,2018-07-09,60109502,,
1531180800,2018-07-10,60109502,,
1531267200,2018-07-11,60109502,,
1531353600,2018-07-12,60109502,,
1531440000,2018-07-13,60109502,,
