# Loaded 8 series, daily returns 1254 obs (5y)

======================================================================
CC1. MCHI vs ACWI (World) 12m rolling β — IMF 가설 '1.2 → 0.2'
======================================================================
month              β      R²     n
2022-06         1.124   0.302   253
2022-07         1.067   0.302   253
2022-08         1.023   0.299   253
2022-09         1.011   0.319   253
2022-10         0.969   0.291   253
2022-11         1.005   0.310   253
2022-12         1.010   0.308   253
2023-01         1.010   0.309   253
2023-02         1.012   0.300   253
2023-03         0.885   0.302   253
2023-04         0.879   0.298   253
2023-05         0.885   0.281   253
2023-06         0.922   0.278   253
2023-07         0.974   0.285   253
2023-08         1.055   0.313   253
2023-09         1.073   0.295   253
2023-10         1.151   0.337   253
2023-11         1.188   0.348   253
2023-12         1.235   0.364   253
2024-01         1.197   0.331   253
2024-02         1.202   0.315   253
2024-03         1.255   0.321   253
2024-04         1.236   0.326   253
2024-05         1.232   0.318   253
2024-06         1.151   0.280   253
2024-07         1.050   0.265   253
2024-08         0.957   0.254   253
2024-09         1.022   0.239   253
2024-10         0.986   0.149   253
2024-11         1.004   0.140   253
2024-12         0.950   0.126   253
2025-01         0.960   0.136   253
2025-02         0.908   0.119   253
2025-03         0.903   0.131   253
2025-04         0.865   0.196   253
2025-05         0.841   0.190   253
2025-06         0.853   0.196   253
2025-07         0.850   0.194   253
2025-08         0.880   0.194   253
2025-09         0.847   0.184   253
2025-10         0.877   0.279   253
2025-11         0.856   0.302   253
2025-12         0.871   0.344   253
2026-01         0.889   0.349   253
2026-02         0.898   0.389   253
2026-03         0.916   0.442   253
2026-04         0.998   0.399   253
2026-05         1.008   0.414   253

======================================================================
CC2. EMXC (EM ex-China) vs ACWI 12m rolling β — IMF claim '안정 유지' 비교
======================================================================
month              β      R²     n
2022-06         0.817   0.749   253
2022-07         0.816   0.751   253
2022-08         0.800   0.762   253
2022-09         0.794   0.778   253
2022-10         0.784   0.778   253
2022-11         0.772   0.785   253
2022-12         0.774   0.787   253
2023-01         0.774   0.795   253
2023-02         0.774   0.799   253
2023-03         0.747   0.771   253
2023-04         0.751   0.768   253
2023-05         0.755   0.751   253
2023-06         0.759   0.737   253
2023-07         0.762   0.731   253
2023-08         0.771   0.721   253
2023-09         0.766   0.704   253
2023-10         0.785   0.700   253
2023-11         0.841   0.707   253
2023-12         0.875   0.718   253
2024-01         0.892   0.705   253
2024-02         0.913   0.725   253
2024-03         0.955   0.750   253
2024-04         0.970   0.760   253
2024-05         0.975   0.749   253
2024-06         1.001   0.716   253
2024-07         0.990   0.725   253
2024-08         1.020   0.756   253
2024-09         1.041   0.750   253
2024-10         1.042   0.735   253
2024-11         1.015   0.695   253
2024-12         0.979   0.682   253
2025-01         0.976   0.686   253
2025-02         0.986   0.678   253
2025-03         0.946   0.681   253
2025-04         0.851   0.747   253
2025-05         0.845   0.727   253
2025-06         0.846   0.743   253
2025-07         0.848   0.737   253
2025-08         0.818   0.714   253
2025-09         0.805   0.695   253
2025-10         0.823   0.708   253
2025-11         0.835   0.728   253
2025-12         0.840   0.729   253
2026-01         0.845   0.715   253
2026-02         0.856   0.696   253
2026-03         0.983   0.693   253
2026-04         1.300   0.701   253
2026-05         1.437   0.726   253

======================================================================
CC3. KWEB vs DXY 12m rolling β — AQR 2022 가설 '≈ 0'
======================================================================
month              β      R²     n
2022-06        -2.058   0.038   253
