Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
207940,KR7207940008,삼성바이오로직스,KOSPI,,1363000,2,-10000,-0.73,1379000,1386000,1336000,128284,174249057000,63094566213000,46290951,STK
068270,KR7068270008,셀트리온,KOSPI,,192900,1,2900,1.53,191600,194500,189400,1133295,218242492550,42847399578900,222122341,STK
000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,339000,1,1000,0.3,381500,381500,330500,266642,92697724750,7952083008000,23457472,KSQ
326030,KR7326030004,SK바이오팜,KOSPI,,89700,2,-3800,-4.06,93700,95700,89700,4645971,418168048350,7024698525000,78313250,STK
298380,KR7298380007,에이비엘바이오,KOSDAQ,기술성장기업부,111900,2,-2600,-2.27,115300,115600,108500,355097,39468604800,6264997109700,55987463,KSQ
141080,KR7141080002,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,151100,2,-3900,-2.52,156800,157000,145900,273960,41059068000,5593634059800,37019418,KSQ
009420,KR7009420001,한올바이오파마,KOSPI,,62500,3,0,0.0,70000,70000,61800,1379694,89605873350,3265039875000,52240638,STK
302440,KR7302440003,SK바이오사이언스,KOSPI,,40900,1,900,2.25,41950,42800,40500,235893,9770751875,3208873017700,78456553,STK
237690,KR7237690003,에스티팜,KOSDAQ GLOBAL,우량기업부,134100,2,-1300,-0.96,137100,143000,123500,148327,19895988200,2797518835800,20861438,KSQ
0009K0,KR70009K0001,에임드바이오,KOSDAQ,기술성장기업부,34400,2,-2100,-5.75,36500,36650,33650,181678,6250185350,2224687938400,64671161,KSQ
068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,47700,2,-400,-0.83,48150,48750,46300,122224,5851834125,2117991236400,44402332,KSQ
290650,KR7290650001,엘앤씨바이오,KOSDAQ,우량기업부,75800,2,-100,-0.13,75500,78900,72900,452125,34072967950,2044303563200,26969704,KSQ
445680,KR7445680002,큐리옥스바이오시스템즈,KOSDAQ,기술성장기업부,90400,2,-2300,-2.48,92500,94900,89200,381307,34641504000,1555174252000,17203255,KSQ
069620,KR7069620003,대웅제약,KOSPI,,130600,2,-1100,-0.84,132300,133900,127100,39334,5105672200,1513206695000,11586575,STK
397030,KR7397030008,에이프릴바이오,KOSDAQ,기술성장기업부,63800,2,-6200,-8.86,69000,69100,60800,439563,27905354150,1493802098800,23413826,KSQ
085660,KR7085660009,차바이오텍,KOSDAQ,중견기업부,13470,2,-100,-0.74,13650,13670,13010,379834,5058129395,1252302505560,92969748,KSQ
048410,KR7048410005,현대바이오,KOSDAQ,중견기업부,11570,2,-1580,-12.02,13000,13780,11230,3528602,42178647205,1116569468040,96505572,KSQ
456160,KR7456160001,지투지바이오,KOSDAQ,기술성장기업부,58200,2,-4600,-7.32,62600,62700,56500,250061,14564505750,962939893800,16545359,KSQ
137310,KR7137310009,에스디바이오센서,KOSPI,,7780,2,-50,-0.64,7750,7900,7510,227080,1754672815,939428013560,120749102,STK
086450,KR7086450004,동국제약,KOSDAQ GLOBAL,우량기업부,19670,2,-480,-2.38,20250,20500,19280,327614,6425553675,889682361400,45230420,KSQ
376900,KR7376900007,로킷헬스케어,KOSDAQ,기술성장기업부,54800,1,1100,2.05,53300,59000,49600,306708,16298099300,869883637200,15873789,KSQ
086900,KR7086900008,메디톡스,KOSDAQ,우량기업부,96400,1,1700,1.8,94700,96800,94700,45200,4332661900,703575110800,7298497,KSQ
317450,KR7317450005,명인제약,KOSPI,,47050,2,-950,-1.98,48150,48850,46300,28995,1359081750,686930000000,14600000,STK
249420,KR7249420001,일동제약,KOSPI,,21350,2,-450,-2.06,21900,22000,20800,359036,7596765475,675476680200,31638252,STK
001060,KR7001060003,JW중외제약,KOSPI,,27800,2,-650,-2.28,28450,28700,27400,65211,1811141275,647348854000,23285930,STK
041960,KR7041960006,코미팜,KOSDAQ,벤처기업부,7480,2,-210,-2.73,7720,7720,7260,248709,1841831295,552670982600,73886495,KSQ
092190,KR7092190008,서울바이오시스,KOSDAQ,투자주의환기종목(소속부없음),11520,2,-510,-4.24,12210,12420,11100,705494,8085053035,528403772160,45868383,KSQ
019170,KR7019170000,신풍제약,KOSPI,,10060,2,-260,-2.52,10250,10330,9990,154460,1552318850,527330331320,52418522,STK
377740,KR7377740006,바이오노트,KOSPI,,4890,2,-60,-1.21,4950,5080,4785,99418,478938325,498222774720,101886048,STK
078160,KR7078160009,메디포스트,KOSDAQ,벤처기업부,12320,2,-680,-5.23,13160,13220,12140,207668,2573472370,483000708960,39204603,KSQ
493280,KR7493280002,아이엠바이오로직스,KOSDAQ,기술성장기업부,32350,2,-3000,-8.49,35550,36550,31700,100679,3293091725,479667975150,14827449,KSQ
0120G0,KR70120G0001,삼양바이오팜,KOSPI,,57300,2,-2600,-4.34,59800,60400,55000,30290,1712200450,426075351000,7435870,STK
