Code,Name,Market,cluster,marcap_b_krw,rank
207940,삼성바이오로직스,KOSPI,CMO_CDMO,63094.6,1
068270,셀트리온,KOSPI,biosimilar,42847.4,2
000250,삼천당제약,KOSDAQ,traditional_pharma,7952.1,3
326030,SK바이오팜,KOSPI,novel_drug,7024.7,4
298380,에이비엘바이오,KOSDAQ,novel_drug,6265.0,5
141080,리가켐바이오,KOSDAQ GLOBAL,novel_drug,5593.6,6
009420,한올바이오파마,KOSPI,novel_drug,3265.0,7
302440,SK바이오사이언스,KOSPI,novel_drug,3208.9,8
237690,에스티팜,KOSDAQ GLOBAL,CMO_CDMO,2797.5,9
0009K0,에임드바이오,KOSDAQ,novel_drug,2224.7,10
068760,셀트리온제약,KOSDAQ,biosimilar,2118.0,11
290650,엘앤씨바이오,KOSDAQ,novel_drug,2044.3,12
445680,큐리옥스바이오시스템즈,KOSDAQ,novel_drug,1555.2,13
069620,대웅제약,KOSPI,traditional_pharma,1513.2,14
397030,에이프릴바이오,KOSDAQ,novel_drug,1493.8,15
085660,차바이오텍,KOSDAQ,novel_drug,1252.3,16
048410,현대바이오,KOSDAQ,novel_drug,1116.6,17
456160,지투지바이오,KOSDAQ,novel_drug,962.9,18
137310,에스디바이오센서,KOSPI,novel_drug,939.4,19
086450,동국제약,KOSDAQ GLOBAL,traditional_pharma,889.7,20
376900,로킷헬스케어,KOSDAQ,diagnostic_device,869.9,21
086900,메디톡스,KOSDAQ,diagnostic_device,703.6,22
317450,명인제약,KOSPI,traditional_pharma,686.9,23
249420,일동제약,KOSPI,traditional_pharma,675.5,24
001060,JW중외제약,KOSPI,traditional_pharma,647.3,25
041960,코미팜,KOSDAQ,other_bio,552.7,26
092190,서울바이오시스,KOSDAQ,novel_drug,528.4,27
019170,신풍제약,KOSPI,traditional_pharma,527.3,28
377740,바이오노트,KOSPI,novel_drug,498.2,29
078160,메디포스트,KOSDAQ,diagnostic_device,483.0,30
493280,아이엠바이오로직스,KOSDAQ,novel_drug,479.7,31
0120G0,삼양바이오팜,KOSPI,novel_drug,426.1,32
950210,프레스티지바이오파마,KOSPI,novel_drug,416.5,33
042520,한스바이오메드,KOSDAQ,novel_drug,415.0,34
047920,HLB제약,KOSDAQ,novel_drug,386.7,35
304360,에스바이오메딕스,KOSDAQ,novel_drug,375.3,36
206650,유바이오로직스,KOSDAQ,novel_drug,367.2,37
187660,페니트리움바이오,KOSDAQ,novel_drug,365.5,38
389650,넥스트바이오메디컬,KOSDAQ,novel_drug,344.7,39
099430,바이오플러스,KOSDAQ,novel_drug,342.7,40
009290,광동제약,KOSPI,traditional_pharma,341.1,41
041920,메디아나,KOSDAQ,diagnostic_device,322.9,42
314930,바이오다인,KOSDAQ,novel_drug,297.6,43
033270,유나이티드제약,KOSPI,traditional_pharma,295.1,44
394420,리센스메디컬,KOSDAQ,diagnostic_device,287.6,45
092730,네오팜,KOSDAQ,other_bio,285.6,46
217730,강스템바이오텍,KOSDAQ,novel_drug,284.0,47
005500,삼진제약,KOSPI,traditional_pharma,271.1,48
182400,엔케이젠바이오텍코리아,KOSDAQ,novel_drug,265.5,49
338840,와이바이오로직스,KOSDAQ,novel_drug,259.5,50
