Date,ZC=F,ZS=F,ZW=F
2018-01-02,353.25,955.0,433.5
2018-01-03,353.0,959.75,436.0
2018-01-04,351.0,959.25,434.0
2018-01-05,351.25,961.5,430.75
2018-01-08,347.25,958.25,427.75
2018-01-09,349.0,955.75,432.25
2018-01-10,349.0,947.0,434.25
2018-01-11,348.75,940.5,433.25
2018-01-12,346.25,944.0,420.5
2018-01-16,348.25,968.0,416.5
2018-01-17,353.0,968.75,421.5
2018-01-18,351.5,973.0,425.25
2018-01-19,352.5,977.25,422.75
2018-01-22,352.0,984.25,425.75
2018-01-23,351.25,986.25,421.5
2018-01-24,356.5,992.25,433.0
2018-01-25,355.25,992.25,434.5
2018-01-26,356.5,985.5,441.0
2018-01-29,358.75,991.5,449.25
2018-01-30,361.5,1000.25,457.25
2018-01-31,361.5,995.75,451.75
2018-02-01,361.75,985.0,451.0
2018-02-02,361.5,978.75,446.75
2018-02-05,358.75,969.75,440.25
2018-02-06,363.5,986.25,446.25
2018-02-07,365.25,983.0,460.5
2018-02-08,365.75,987.75,456.25
2018-02-09,362.0,983.0,449.0
2018-02-12,367.0,1001.75,464.0
2018-02-13,366.75,1011.75,460.75
2018-02-14,367.25,1017.25,455.75
2018-02-15,367.75,1024.25,461.75
2018-02-16,367.5,1021.5,457.75
2018-02-20,365.5,1026.5,449.25
2018-02-21,365.75,1034.25,447.25
2018-02-22,366.75,1032.0,451.25
2018-02-23,366.25,1036.25,452.25
2018-02-26,368.5,1034.25,459.5
2018-02-27,370.5,1038.0,463.25
2018-02-28,374.5,1045.0,484.5
2018-03-01,378.75,1057.5,505.5
2018-03-02,377.25,1060.75,492.0
2018-03-05,378.25,1066.75,502.25
2018-03-06,379.75,1064.5,502.0
2018-03-07,379.25,1055.0,493.0
2018-03-08,385.75,1053.75,494.75
2018-03-09,383.0,1029.25,489.0
2018-03-12,384.25,1033.25,489.75
2018-03-13,385.5,1040.5,485.5
2018-03-14,383.5,1028.5,495.75
2018-03-15,386.75,1040.75,478.75
2018-03-16,382.75,1049.5,467.75
2018-03-19,375.0,1022.5,450.75
2018-03-20,374.5,1028.25,453.0
2018-03-21,375.0,1029.75,453.5
2018-03-22,376.0,1029.75,455.75
2018-03-23,377.25,1028.25,460.25
2018-03-26,374.0,1025.5,454.25
2018-03-27,374.0,1019.5,449.0
2018-03-28,373.5,1018.0,445.5
2018-03-29,387.75,1044.75,451.0
2018-04-02,387.25,1035.5,446.25
2018-04-03,388.5,1038.0,457.5
2018-04-04,381.0,1015.25,455.75
2018-04-05,389.5,1031.25,464.75
2018-04-06,388.5,1033.75,472.25
2018-04-09,390.75,1047.0,490.75
2018-04-10,389.25,1050.0,492.0
2018-04-11,387.0,1047.75,487.25
2018-04-12,388.75,1060.75,481.0
2018-04-13,386.25,1054.25,472.5
2018-04-16,382.5,1042.0,462.25
2018-04-17,380.25,1046.0,466.25
2018-04-18,383.0,1041.75,475.25
2018-04-19,382.0,1037.25,476.75
2018-04-20,376.5,1028.75,463.25
2018-04-23,378.5,1020.75,461.5
2018-04-24,381.25,1022.25,472.5
2018-04-25,386.5,1027.5,486.25
2018-04-26,386.0,1028.0,480.75
2018-04-27,389.5,1045.0,495.5
2018-04-30,392.5,1037.75,512.5
2018-05-01,396.75,1042.5,529.75
2018-05-02,396.0,1032.75,525.75
2018-05-03,399.5,1043.25,540.5
2018-05-04,398.75,1027.25,527.5
2018-05-07,393.25,1002.25,514.0
2018-05-08,395.5,1011.25,517.75
2018-05-09,394.75,1007.25,514.5
2018-05-10,394.75,1013.25,507.75
2018-05-11,389.75,994.75,489.5
2018-05-14,389.0,1013.0,480.5
2018-05-15,402.25,1018.75,493.5
2018-05-16,399.25,999.75,494.25
2018-05-17,395.25,995.0,497.5
2018-05-18,402.5,998.5,518.25
2018-05-21,402.75,1025.25,507.25
2018-05-22,404.75,1030.5,521.5
2018-05-23,408.5,1039.25,531.0
2018-05-24,404.25,1035.75,530.25
2018-05-25,406.0,1041.5,543.0
2018-05-29,400.0,1030.5,536.5
2018-05-30,393.5,1023.0,522.0
2018-05-31,394.0,1018.5,526.25
2018-06-01,391.5,1021.25,523.25
2018-06-04,380.75,1001.75,505.25
2018-06-05,383.75,1001.25,510.0
2018-06-06,378.25,994.25,519.75
2018-06-07,376.25,974.25,526.75
2018-06-08,377.75,969.25,520.0
2018-06-11,367.25,953.75,514.5
2018-06-12,377.5,954.0,534.5
2018-06-13,376.0,936.0,516.5
2018-06-14,363.0,927.25,501.5
2018-06-15,361.25,905.5,499.5
2018-06-18,356.0,908.5,490.0
2018-06-19,353.75,889.0,477.75
2018-06-20,354.25,889.5,488.25
2018-06-21,357.0,880.5,495.25
2018-06-22,357.25,894.5,491.25
2018-06-25,350.5,874.5,476.75
2018-06-26,352.5,867.25,469.5
2018-06-27,352.5,867.5,479.5
2018-06-28,345.0,861.25,479.5
2018-06-29,350.25,858.5,497.5
2018-07-02,337.5,848.5,480.25
2018-07-03,342.75,844.0,491.5
2018-07-05,343.5,835.5,504.0
2018-07-06,351.75,874.0,512.75
2018-07-09,345.75,851.75,507.75
2018-07-10,339.75,852.25,489.5
2018-07-11,331.25,829.75,469.75
2018-07-12,336.5,830.0,482.5
2018-07-13,330.25,814.0,481.5
2018-07-16,341.75,829.5,488.5
2018-07-17,346.25,839.5,497.75
2018-07-18,347.25,842.25,494.5
2018-07-19,351.25,846.0,504.25
2018-07-20,355.25,849.75,516.0
2018-07-23,357.25,847.75,513.75
2018-07-24,352.0,858.0,510.25
2018-07-25,359.25,860.75,542.75
2018-07-26,361.5,861.25,536.5
2018-07-27,362.0,870.5,530.5
2018-07-30,367.25,875.0,546.5
2018-07-31,372.25,903.75,553.75
2018-08-01,365.0,886.75,558.25
2018-08-02,366.75,882.5,560.5
2018-08-03,369.75,886.25,556.25
2018-08-06,371.0,877.25,574.5
2018-08-07,370.75,889.25,568.25
2018-08-08,371.25,893.75,570.0
2018-08-09,369.25,887.75,564.5
2018-08-10,357.75,846.0,546.75
2018-08-13,356.5,853.5,533.5
2018-08-14,362.25,864.5,541.75
2018-08-15,361.5,857.5,532.25
2018-08-16,365.25,885.5,542.25
2018-08-17,364.25,881.5,560.5
2018-08-20,362.0,881.75,542.25
2018-08-21,359.75,874.5,527.25
2018-08-22,352.5,858.25,526.0
2018-08-23,346.75,842.0,522.0
2018-08-24,348.5,842.0,514.75
2018-08-27,346.75,834.75,499.25
2018-08-28,341.0,820.5,498.25
2018-08-29,341.25,823.25,515.75
2018-08-30,341.0,819.5,508.0
2018-08-31,351.0,833.0,518.5
2018-09-04,354.5,832.0,502.75
2018-09-05,351.75,825.5,493.75
2018-09-06,353.5,826.75,486.0
2018-09-07,354.25,832.0,486.25
2018-09-10,355.5,833.5,504.0
2018-09-11,355.25,820.25,493.75
2018-09-12,341.5,829.0,481.75
2018-09-13,336.25,822.75,471.75
2018-09-14,337.0,821.5,480.0
2018-09-17,348.0,823.5,506.25
2018-09-18,343.25,814.0,510.5
2018-09-19,345.75,830.0,522.5
2018-09-20,352.5,850.25,524.0
2018-09-21,357.25,847.25,521.75
2018-09-24,360.5,841.0,527.0
2018-09-25,363.75,845.75,520.75
2018-09-26,363.0,850.0,517.5
2018-09-27,364.75,855.0,513.0
2018-09-28,356.25,845.5,509.0
2018-10-01,365.75,857.75,509.5
2018-10-02,367.5,866.0,519.25
2018-10-03,364.75,861.5,515.25
2018-10-04,367.5,859.25,518.0
2018-10-05,368.25,869.0,521.0
2018-10-08,366.5,869.75,514.0
2018-10-09,364.5,863.0,515.0
2018-10-10,362.75,852.25,510.5
2018-10-11,369.25,858.25,508.0
2018-10-12,373.75,867.5,517.25
2018-10-15,378.25,891.5,525.0
2018-10-16,375.25,884.75,523.5
2018-10-17,374.25,885.75,517.5
2018-10-18,370.75,863.5,513.0
2018-10-19,367.0,856.75,514.75
2018-10-22,369.5,858.5,508.0
2018-10-23,370.25,857.5,509.0
2018-10-24,368.25,850.25,499.5
2018-10-25,361.0,841.75,487.25
2018-10-26,367.75,845.0,505.25
2018-10-29,366.75,839.0,507.25
2018-10-30,364.75,833.5,499.75
2018-10-31,363.25,839.0,500.5
2018-11-01,366.75,869.0,508.0
2018-11-02,371.25,875.25,508.75
2018-11-05,374.0,873.0,507.25
2018-11-06,373.25,872.0,512.0
2018-11-07,372.25,867.75,510.25
2018-11-08,373.5,867.5,507.75
2018-11-09,369.75,875.25,502.0
2018-11-12,371.25,871.75,519.75
2018-11-13,366.5,867.25,507.75
2018-11-14,367.0,870.5,503.0
2018-11-15,367.5,888.75,505.5
2018-11-16,364.75,892.25,506.75
2018-11-19,362.25,873.75,498.5
2018-11-20,361.25,881.0,500.75
2018-11-21,361.75,883.0,498.75
2018-11-23,359.0,881.0,499.75
2018-11-26,356.0,862.25,507.5
2018-11-27,356.5,875.5,498.0
2018-11-28,360.5,890.5,497.5
2018-11-29,360.25,887.25,496.5
2018-11-30,366.5,894.75,515.75
2018-12-03,371.25,905.75,515.75
2018-12-04,374.25,911.75,519.25
2018-12-06,372.0,909.5,505.25
2018-12-07,374.0,916.75,519.5
2018-12-10,374.25,909.75,514.75
2018-12-11,375.0,915.0,509.75
2018-12-12,376.25,920.0,515.25
2018-12-13,375.5,907.0,527.75
2018-12-14,376.75,900.5,527.75
2018-12-17,,904.75,535.25
2018-12-18,,907.75,532.75
2018-12-19,381.75,900.0,522.5
2018-12-20,375.25,893.5,523.5
2018-12-21,378.5,884.75,514.0
2018-12-24,377.75,884.0,516.5
2018-12-26,373.25,870.0,510.0
2018-12-27,374.5,869.0,510.5
2018-12-28,375.5,882.75,511.5
2018-12-31,375.0,882.5,503.25
2019-01-02,375.75,894.75,506.75
2019-01-03,379.75,900.25,513.75
2019-01-04,383.0,909.5,517.0
2019-01-07,382.25,912.25,516.75
2019-01-08,380.0,906.25,517.75
2019-01-09,382.0,911.5,520.0
2019-01-10,376.25,895.5,513.75
2019-01-11,378.25,899.25,519.5
2019-01-14,378.5,890.75,514.25
2019-01-15,371.25,893.25,511.0
