DATE,KORSARTMISMEI
2015-01-01,97.58118
2015-02-01,100.8565
2015-03-01,98.71059
2015-04-01,99.95294
2015-05-01,99.95294
2015-06-01,97.01647
2015-07-01,98.59765
2015-08-01,99.27529
2015-09-01,100.8565
2015-10-01,103.4541
2015-11-01,101.8729
2015-12-01,103.4541
2016-01-01,103.4541
2016-02-01,101.6471
2016-03-01,103.7929
2016-04-01,103.3412
2016-05-01,104.6965
2016-06-01,105.4871
2016-07-01,102.7765
2016-08-01,104.3577
2016-09-01,101.6471
2016-10-01,104.9224
2016-11-01,104.5835
2016-12-01,105.8259
2017-01-01,104.4706
2017-02-01,106.1647
2017-03-01,104.5835
2017-04-01,105.2612
2017-05-01,105.2612
2017-06-01,106.1647
2017-07-01,105.2612
2017-08-01,104.9224
2017-09-01,107.6329
2017-10-01,106.2776
2017-11-01,110.3435
2017-12-01,107.9718
2018-01-01,109.5529
2018-02-01,110.7953
2018-03-01,112.0376
2018-04-01,111.1341
2018-05-01,110.1176
2018-06-01,110.6824
2018-07-01,111.1341
2018-08-01,110.7953
2018-09-01,108.9882
2018-10-01,110.4565
2018-11-01,111.5859
2018-12-01,111.8118
2019-01-01,114.8612
2019-02-01,108.8753
2019-03-01,114.5224
2019-04-01,112.4894
2019-05-01,113.28
2019-06-01,111.6988
2019-07-01,111.1341
2019-08-01,115.3129
2019-09-01,112.3765
2019-10-01,112.7153
2019-11-01,116.2165
2019-12-01,117.3459
2020-01-01,113.0541
2020-02-01,107.8588
2020-03-01,106.2776
2020-04-01,110.0047
2020-05-01,114.9741
2020-06-01,117.2329
2020-07-01,111.6988
2020-08-01,115.0871
2020-09-01,115.2
2020-10-01,114.9741
2020-11-01,114.2965
2020-12-01,114.7482
2021-01-01,118.5882
2021-02-01,115.3129
2021-03-01,117.2329
2021-04-01,119.3788
2021-05-01,118.8141
2021-06-01,120.0565
2021-07-01,120.96
2021-08-01,120.5082
2021-09-01,121.8635
2021-10-01,122.5412
2021-11-01,119.3788
2021-12-01,121.5247
2022-01-01,121.1859
2022-02-01,118.7012
2022-03-01,120.2824
2022-04-01,119.8306
2022-05-01,119.2659
2022-06-01,118.7012
2022-07-01,118.8141
2022-08-01,122.5412
2022-09-01,119.04
2022-10-01,120.7341
2022-11-01,116.8941
2022-12-01,117.4588
2023-01-01,116.5553
2023-02-01,121.1859
2023-03-01,119.2659
2023-04-01,117.4588
2023-05-01,118.0235
2023-06-01,119.9435
2023-07-01,116.2165
2023-08-01,116.7812
2023-09-01,115.6518
2023-10-01,116.5553
2023-11-01,116.4424
2023-12-01,117.0071
2024-01-01,118.1365
2024-02-01,114.6353
2024-03-01,116.4424
