observation_date,NFCI_first_release
1971-01-08,0.37
1971-01-15,0.42
1971-01-22,0.48
1971-01-29,0.54
1971-02-05,0.61
1971-02-12,0.67
1971-02-19,0.72
1971-02-26,0.75
1971-03-05,0.78
1971-03-12,0.79
1971-03-19,0.81
1971-03-26,0.83
1971-04-02,0.86
1971-04-09,0.91
1971-04-16,0.97
1971-04-23,1.04
1971-04-30,1.11
1971-05-07,1.17
1971-05-14,1.2
1971-05-21,1.2
1971-05-28,1.16
1971-06-04,1.07
1971-06-11,0.96
1971-06-18,0.83
1971-06-25,0.71
1971-07-02,0.62
1971-07-09,0.58
1971-07-16,0.61
1971-07-23,0.71
1971-07-30,0.88
1971-08-06,1.09
1971-08-13,1.33
1971-08-20,1.57
1971-08-27,1.77
1971-09-03,1.92
1971-09-10,1.99
1971-09-17,2.0
1971-09-24,1.94
1971-10-01,1.83
1971-10-08,1.69
1971-10-15,1.54
1971-10-22,1.41
1971-10-29,1.3
1971-11-05,1.23
1971-11-12,1.19
1971-11-19,1.18
1971-11-26,1.19
1971-12-03,1.21
1971-12-10,1.21
1971-12-17,1.2
1971-12-24,1.17
1971-12-31,1.11
1972-01-07,1.02
1972-01-14,0.92
1972-01-21,0.8
1972-01-28,0.69
1972-02-04,0.58
1972-02-11,0.49
1972-02-18,0.41
1972-02-25,0.35
1972-03-03,0.31
1972-03-10,0.28
1972-03-17,0.26
1972-03-24,0.24
1972-03-31,0.22
1972-04-07,0.19
1972-04-14,0.15
1972-04-21,0.1
1972-04-28,0.05
1972-05-05,0.0
1972-05-12,-0.05
1972-05-19,-0.08
1972-05-26,-0.1
1972-06-02,-0.1
1972-06-09,-0.08
1972-06-16,-0.05
1972-06-23,0.0
1972-06-30,0.05
1972-07-07,0.1
1972-07-14,0.14
1972-07-21,0.16
1972-07-28,0.15
1972-08-04,0.12
1972-08-11,0.07
1972-08-18,0.0
1972-08-25,-0.08
1972-09-01,-0.16
1972-09-08,-0.23
1972-09-15,-0.29
1972-09-22,-0.33
1972-09-29,-0.35
1972-10-06,-0.36
1972-10-13,-0.35
1972-10-20,-0.35
1972-10-27,-0.34
1972-11-03,-0.34
1972-11-10,-0.34
1972-11-17,-0.36
1972-11-24,-0.38
1972-12-01,-0.4
1972-12-08,-0.42
1972-12-15,-0.43
1972-12-22,-0.42
1972-12-29,-0.39
1973-01-05,-0.45
1973-01-12,-0.39
1973-01-19,-0.31
1973-01-26,-0.17
1973-02-02,0.02
1973-02-09,0.24
1973-02-16,0.44
1973-02-23,0.65
1973-03-02,0.81
1973-03-09,0.91
1973-03-16,0.92
1973-03-23,0.92
1973-03-30,0.92
1973-04-06,0.89
1973-04-13,0.85
1973-04-20,0.82
1973-04-27,0.82
1973-05-04,0.81
1973-05-11,0.79
1973-05-18,0.76
1973-05-25,0.72
1973-06-01,0.67
1973-06-08,0.63
1973-06-15,0.62
1973-06-22,0.66
1973-06-29,0.75
1973-07-06,0.84
1973-07-13,0.99
1973-07-20,1.16
1973-07-27,1.35
1973-08-03,1.47
1973-08-10,1.56
1973-08-17,1.62
1973-08-24,1.71
1973-08-31,1.79
1973-09-07,1.82
1973-09-14,1.85
1973-09-21,1.91
1973-09-28,1.96
1973-10-05,1.9
1973-10-12,1.84
1973-10-19,1.72
1973-10-26,1.62
1973-11-02,1.5
1973-11-09,1.42
1973-11-16,1.46
1973-11-23,1.57
1973-11-30,1.69
1973-12-07,1.73
1973-12-14,1.74
1973-12-21,1.69
1973-12-28,1.57
1974-01-04,1.31
1974-01-11,1.09
1974-01-18,0.89
1974-01-25,0.71
1974-02-01,0.55
1974-02-08,0.42
1974-02-15,0.33
1974-02-22,0.26
1974-03-01,0.2
1974-03-08,0.18
1974-03-15,0.23
1974-03-22,0.34
1974-03-29,0.5
1974-04-05,0.66
1974-04-12,0.92
1974-04-19,1.22
1974-04-26,1.56
1974-05-03,1.83
1974-05-10,2.15
1974-05-17,2.5
1974-05-24,2.79
1974-05-31,3.06
1974-06-07,3.32
1974-06-14,3.58
1974-06-21,3.91
1974-06-28,4.23
1974-07-05,4.46
1974-07-12,4.58
1974-07-19,4.6
1974-07-26,4.55
1974-08-02,4.44
1974-08-09,4.22
1974-08-16,4.05
1974-08-23,3.9
1974-08-30,3.81
1974-09-06,3.69
1974-09-13,3.58
1974-09-20,3.56
1974-09-27,3.49
1974-10-04,3.36
1974-10-11,3.08
1974-10-18,2.81
1974-10-25,2.57
1974-11-01,2.37
1974-11-08,2.2
1974-11-15,2.13
1974-11-22,2.1
1974-11-29,2.11
1974-12-06,2.1
1974-12-13,2.04
1974-12-20,2.01
1974-12-27,1.91
1975-01-03,1.79
1975-01-10,1.58
1975-01-17,1.38
1975-01-24,1.21
1975-01-31,1.05
1975-02-07,0.86
1975-02-14,0.75
1975-02-21,0.64
1975-02-28,0.51
1975-03-07,0.37
1975-03-14,0.23
1975-03-21,0.13
1975-03-28,0.05
1975-04-04,0.0
1975-04-11,-0.06
1975-04-18,-0.11
1975-04-25,-0.18
1975-05-02,-0.24
1975-05-09,-0.3
1975-05-16,-0.36
1975-05-23,-0.46
1975-05-30,-0.52
1975-06-06,-0.55
1975-06-13,-0.57
1975-06-20,-0.59
1975-06-27,-0.6
1975-07-04,-0.58
1975-07-11,-0.57
1975-07-18,-0.59
1975-07-25,-0.61
1975-08-01,-0.64
1975-08-08,-0.63
1975-08-15,-0.62
1975-08-22,-0.6
1975-08-29,-0.55
1975-09-05,-0.51
1975-09-12,-0.45
1975-09-19,-0.39
1975-09-26,-0.34
1975-10-03,-0.27
1975-10-10,-0.24
1975-10-17,-0.23
1975-10-24,-0.22
1975-10-31,-0.2
1975-11-07,-0.2
1975-11-14,-0.21
