date,name,mm_long,mm_short,mm_spread,mm_net_long,oi
2022-01-04,GOLD - COMMODITY EXCHANGE INC.,124252,44744,37276,79508,502717
2022-01-11,GOLD - COMMODITY EXCHANGE INC.,119297,44987,50002,74310,546516
2022-01-18,GOLD - COMMODITY EXCHANGE INC.,119807,48014,39932,71793,539204
2022-01-25,GOLD - COMMODITY EXCHANGE INC.,140640,39265,48912,101375,572078
2022-02-01,GOLD - COMMODITY EXCHANGE INC.,108309,58395,42396,49914,515331
2022-02-08,GOLD - COMMODITY EXCHANGE INC.,117234,47767,41506,69467,512842
2022-02-15,GOLD - COMMODITY EXCHANGE INC.,151530,43824,47013,107706,558645
2022-02-22,GOLD - COMMODITY EXCHANGE INC.,183356,44380,55800,138976,611488
2022-03-01,GOLD - COMMODITY EXCHANGE INC.,187215,38594,53992,148621,615600
2022-03-08,GOLD - COMMODITY EXCHANGE INC.,181510,38537,38554,142973,638502
2022-03-15,GOLD - COMMODITY EXCHANGE INC.,165597,39060,31328,126537,617605
2022-03-22,GOLD - COMMODITY EXCHANGE INC.,152589,37457,32756,115132,605191
2022-03-29,GOLD - COMMODITY EXCHANGE INC.,146486,38184,37384,108302,574521
2022-04-05,GOLD - COMMODITY EXCHANGE INC.,148320,46693,32241,101627,560666
2022-04-12,GOLD - COMMODITY EXCHANGE INC.,165244,48219,31725,117025,577639
2022-04-19,GOLD - COMMODITY EXCHANGE INC.,157560,56294,34469,101266,575202
2022-04-26,GOLD - COMMODITY EXCHANGE INC.,138215,57098,36063,81117,557785
2022-05-03,GOLD - COMMODITY EXCHANGE INC.,128828,60981,39883,67847,560441
2022-05-10,GOLD - COMMODITY EXCHANGE INC.,123931,61939,61863,61992,571447
2022-05-17,GOLD - COMMODITY EXCHANGE INC.,115572,72212,48635,43360,555756
2022-05-24,GOLD - COMMODITY EXCHANGE INC.,121174,60117,38533,61057,530098
2022-05-31,GOLD - COMMODITY EXCHANGE INC.,112731,61938,34212,50793,513722
2022-06-07,GOLD - COMMODITY EXCHANGE INC.,115215,57684,34946,57531,494130
2022-06-14,GOLD - COMMODITY EXCHANGE INC.,109111,72206,34898,36905,497456
2022-06-21,GOLD - COMMODITY EXCHANGE INC.,113220,63417,36961,49803,500276
2022-06-28,GOLD - COMMODITY EXCHANGE INC.,110850,74748,38340,36102,497005
2022-07-05,GOLD - COMMODITY EXCHANGE INC.,103472,86438,38833,17034,498210
2022-07-12,GOLD - COMMODITY EXCHANGE INC.,91669,97802,73944,-6133,542493
2022-07-19,GOLD - COMMODITY EXCHANGE INC.,91056,109794,67378,-18738,524786
2022-07-26,GOLD - COMMODITY EXCHANGE INC.,92216,111309,41752,-19093,487515
2022-08-02,GOLD - COMMODITY EXCHANGE INC.,96634,80779,33380,15855,459649
2022-08-09,GOLD - COMMODITY EXCHANGE INC.,100013,59279,36807,40734,453540
2022-08-16,GOLD - COMMODITY EXCHANGE INC.,96765,60392,37551,36373,453960
2022-08-23,GOLD - COMMODITY EXCHANGE INC.,95850,73739,39072,22111,457762
2022-08-30,GOLD - COMMODITY EXCHANGE INC.,91761,79973,39811,11788,459165
2022-09-06,GOLD - COMMODITY EXCHANGE INC.,85842,92804,48627,-6962,465908
