date,rc_real_gold_252d,rc_dollar_gold_252d
2010-12-22,-0.25058701648796833,-0.2243431375352981
2010-12-23,-0.25226507313080854,-0.22402591172230088
2010-12-24,-0.26007654044312584,-0.22285139251486433
2010-12-27,-0.2628492862880719,-0.2212911192215881
2010-12-28,-0.24564645443853847,-0.22306088487633724
2010-12-29,-0.2528000922516529,-0.21752568123869903
2010-12-30,-0.2785645650052806,-0.2147865752916929
2010-12-31,-0.29060200854699847,-0.2148131500122423
2011-01-03,-0.2916736804152953,-0.20902427685144184
2011-01-04,-0.28727181151621617,-0.21528495453210578
2011-01-05,-0.28802179052867266,-0.21603154690447704
2011-01-06,-0.28622567532364596,-0.21882952615297468
2011-01-07,-0.29534852002267864,-0.20324404112901662
2011-01-10,-0.2992943845137443,-0.20411804688838306
2011-01-11,-0.29838578206104444,-0.2043615817093595
2011-01-12,-0.2984735048894511,-0.20520084764564017
2011-01-13,-0.29706527268707644,-0.19762552176643505
2011-01-14,-0.29649386598792493,-0.19995766081672306
2011-01-17,-0.2964948022850739,-0.19998501671692337
2011-01-18,-0.29955347569424096,-0.19852573698245154
2011-01-19,-0.30077373865882906,-0.20004044032017568
2011-01-20,-0.31984343070902577,-0.20668956996529161
2011-01-21,-0.3185397755853115,-0.20415615244424987
2011-01-24,-0.3380700634830092,-0.18471467802806915
2011-01-25,-0.3367907629627997,-0.18732271886252008
2011-01-26,-0.3319299430487307,-0.18879949437276472
2011-01-27,-0.33063195120498073,-0.18974563836455877
2011-01-28,-0.33588193754427836,-0.1826724918065019
2011-01-31,-0.3422876587429123,-0.18369269416707662
2011-02-01,-0.34039731537670087,-0.18902681563894755
2011-02-02,-0.34102331993538854,-0.1887374493082024
2011-02-03,-0.3292035144895906,-0.17412528174485353
2011-02-04,-0.32970920423598377,-0.1739122005352355
2011-02-07,-0.3309615778274082,-0.17536063643462108
2011-02-08,-0.32255752457579656,-0.17706076116713676
2011-02-09,-0.32083022715326626,-0.17847379385579412
2011-02-10,-0.3269620455415192,-0.17610566752636572
2011-02-11,-0.32532575187767265,-0.17740950066272618
2011-02-14,-0.3261796351248835,-0.1821485922010459
2011-02-15,-0.32502365461965116,-0.17543400534126033
2011-02-16,-0.324813895487038,-0.17530178666696736
2011-02-17,-0.32785411300398426,-0.17319063926949338
2011-02-18,-0.32809483643213905,-0.17155615035773272
2011-02-21,-0.3297715174969805,-0.16810096170382022
2011-02-22,-0.3314055802737056,-0.1659114091916578
2011-02-23,-0.3318239647950759,-0.16629935658744402
2011-02-24,-0.32798640754951736,-0.16427294507354406
2011-02-25,-0.32877644682672263,-0.16717739757553882
2011-02-28,-0.3286450243632573,-0.16733471204094863
2011-03-01,-0.33272083781716527,-0.17214103821323667
2011-03-02,-0.33315283709541965,-0.17334423855394626
2011-03-03,-0.3362970509656989,-0.16496851970633353
2011-03-04,-0.3411394591713302,-0.16774872356928444
2011-03-07,-0.34419673849775506,-0.1703755645815034
2011-03-08,-0.3401609620115775,-0.16488371781532415
2011-03-09,-0.34097028673697966,-0.16411056853844658
2011-03-10,-0.3328249212883542,-0.16855913862150018
2011-03-11,-0.3200382896687028,-0.15525846050613512
2011-03-14,-0.3225881303155724,-0.15574470101934765
2011-03-15,-0.31893605146481835,-0.1648449434511292
2011-03-16,-0.31760005173373695,-0.1651553610892176
2011-03-17,-0.31845685409656704,-0.16694297726601054
2011-03-18,-0.31299898995146236,-0.1650845385025272
2011-03-21,-0.31235264282611774,-0.16413039736330187
2011-03-22,-0.31323897983715876,-0.163731803596565
2011-03-23,-0.3111377186149304,-0.158972314995369
2011-03-24,-0.3086464863819092,-0.1555217138456698
2011-03-25,-0.3004000432554613,-0.15647696434275
2011-03-28,-0.30015240441939584,-0.15748860728487898
2011-03-29,-0.29991729320132987,-0.1559621194991237
2011-03-30,-0.30264886894953574,-0.15841429100356783
2011-03-31,-0.3033737334997569,-0.15983963985426236
2011-04-01,-0.30176702111572995,-0.15742679129009005
2011-04-04,-0.3012278497019943,-0.15912313555339538
2011-04-05,-0.30411762973155104,-0.15214829449379896
2011-04-06,-0.3028059709010372,-0.1519544495483278
2011-04-07,-0.30264428529017323,-0.1514916377819395
2011-04-08,-0.3024021098645619,-0.15483028746272445
2011-04-11,-0.3015573477140693,-0.15258656943784538
2011-04-12,-0.29866934321219774,-0.15447168222108545
2011-04-13,-0.2991984321234592,-0.15542305152513977
2011-04-14,-0.28954799909567025,-0.17069561265492877
2011-04-15,-0.2916466944331188,-0.1696302025613112
2011-04-18,-0.29449926577386,-0.1667320641603351
2011-04-19,-0.2932738594141856,-0.1654688133299469
2011-04-20,-0.29182551920738603,-0.1683584720172773
2011-04-21,-0.29272029204330613,-0.1631485961935496
2011-04-22,-0.29268722825042376,-0.16518516890125834
2011-04-25,-0.28739362641872324,-0.2060430924430051
2011-04-26,-0.2856679315901301,-0.20515966890491574
2011-04-27,-0.2743822799403738,-0.2154344564421948
2011-04-28,-0.2753234882093299,-0.22493453538438352
2011-04-29,-0.27625579916131787,-0.22970561809341997
2011-05-02,-0.2755394080729936,-0.22814222161385816
2011-05-03,-0.27518083329868576,-0.22970933788784378
2011-05-04,-0.26748561087153944,-0.22904771669452817
2011-05-05,-0.26321099194714437,-0.25107582525066774
2011-05-06,-0.25164804348098285,-0.2272295041652588
2011-05-09,-0.25051170420425384,-0.21355836071138268
2011-05-10,-0.2506662798489124,-0.22106822263111028
2011-05-11,-0.25508313079345696,-0.23056024584920792
2011-05-12,-0.25467011600563494,-0.23894157265079105
2011-05-13,-0.2531598420246894,-0.23921042883006838
2011-05-16,-0.25393322367562876,-0.24102180611283036
2011-05-17,-0.2542075263335224,-0.24277161013108653
2011-05-18,-0.25397157014080995,-0.2443789881247071
2011-05-19,-0.2532706611744659,-0.24908389281419482
2011-05-20,-0.25692835823956905,-0.24684891484631288
2011-05-23,-0.2608108657145429,-0.24706977429519716
2011-05-24,-0.257704571504028,-0.2612747044602225
2011-05-25,-0.2585333836815897,-0.2735717724262456
2011-05-26,-0.25609196983875754,-0.2744512571869481
2011-05-27,-0.25354414280625953,-0.28323187407615563
2011-05-30,-0.24751737435629556,-0.29266226804628054
2011-05-31,-0.24492449849727085,-0.29334341447021356
2011-06-01,-0.24420226212072985,-0.30121345694942253
2011-06-02,-0.24674475505201884,-0.3018886492946078
2011-06-03,-0.24978473856143873,-0.30422251730510597
2011-06-06,-0.24546985827744083,-0.3045447889819974
2011-06-07,-0.24765122153949365,-0.3032757448255593
2011-06-08,-0.251514315470024,-0.3214481830244854
2011-06-09,-0.2478797296585622,-0.3255955001264319
2011-06-10,-0.24715949267832968,-0.32874421399476816
2011-06-13,-0.24850281219776066,-0.32941744303664505
2011-06-14,-0.2459303451918713,-0.3301175009551975
2011-06-15,-0.25215781053009073,-0.32851946771348584
2011-06-16,-0.2519917304250051,-0.3335422078671172
2011-06-17,-0.2510275029517281,-0.3356200811745763
2011-06-20,-0.24083557881118905,-0.35851239388605555
2011-06-21,-0.24839610316604357,-0.358533310854279
2011-06-22,-0.24788212763920028,-0.35850969102171965
2011-06-23,-0.2299593852840459,-0.38982010372933706
2011-06-24,-0.22359891300110527,-0.3918339417770426
2011-06-27,-0.2271531661488445,-0.3964584541389017
2011-06-28,-0.22653730222394822,-0.3968283120198483
2011-06-29,-0.22614036317299854,-0.3958054974303721
2011-06-30,-0.2284256237860924,-0.3865775662738576
2011-07-01,-0.23036178914769306,-0.3847320763066997
2011-07-04,-0.23064643301475798,-0.38504900643109163
2011-07-05,-0.22505782030576088,-0.3748183199599682
2011-07-06,-0.22395019102238078,-0.36894053363127505
2011-07-07,-0.22369153526897928,-0.36900799381866634
2011-07-08,-0.2334155952465342,-0.36798869635841586
2011-07-11,-0.23817228942173013,-0.356018925667185
2011-07-12,-0.23776725130380882,-0.35436689679139466
2011-07-13,-0.23796720515912004,-0.362695364892673
2011-07-14,-0.23418522795192062,-0.36511857464774694
2011-07-15,-0.23499895089402772,-0.3649761944212196
2011-07-18,-0.23614162883851833,-0.356297527148357
2011-07-19,-0.22657185296484525,-0.33905618420328687
2011-07-20,-0.22007438208765373,-0.34217155322370135
2011-07-21,-0.2228298755948209,-0.33359497354313705
2011-07-22,-0.2286437138022682,-0.33393550979514053
2011-07-25,-0.22974173466120476,-0.3338708092943221
2011-07-26,-0.22873027735261203,-0.33396633229150124
2011-07-27,-0.2283207284895823,-0.33475178333640343
2011-07-28,-0.22798808361339165,-0.33859733474554554
2011-07-29,-0.23067075862473232,-0.3376737011811104
2011-08-01,-0.2399798568928873,-0.34274283266611266
2011-08-02,-0.24445603300276467,-0.3365140153541447
2011-08-03,-0.2423313627205127,-0.3350160468795916
2011-08-04,-0.23384207988839437,-0.3384408402868901
2011-08-05,-0.22912351649699292,-0.3359462870259238
2011-08-08,-0.2504585944320305,-0.32382653647732684
2011-08-09,-0.2545746261787059,-0.31872264323625893
2011-08-10,-0.2765724438227763,-0.3094364181888528
2011-08-11,-0.2993069652458661,-0.3053159582371102
2011-08-12,-0.29538239061601956,-0.30813939471341284
2011-08-15,-0.2906124304393766,-0.3151125568373515
2011-08-16,-0.2913842780151234,-0.31444807694675336
