date,year,tonnes,cum_tonnes
2010-12-31,2010,77.4,77.4
2011-12-31,2011,480.8,558.2
2012-12-31,2012,569.3,1127.5
2013-12-31,2013,408.2,1535.7
2014-12-31,2014,587.6,2123.3
2015-12-31,2015,579.8,2703.1000000000004
2016-12-31,2016,386.8,3089.9000000000005
2017-12-31,2017,378.5,3468.4000000000005
2018-12-31,2018,656.3,4124.700000000001
2019-12-31,2019,668.5,4793.200000000001
2020-12-31,2020,254.9,5048.1
2021-12-31,2021,463.1,5511.200000000001
2022-12-31,2022,1135.7,6646.900000000001
2023-12-31,2023,1037.4,7684.300000000001
2024-12-31,2024,1044.6,8728.900000000001
