분기,us10y(말),Δus10y(bp),DXY(말),sp500%,nasdaq%,dxy%,gold%,oil%,regime(proxy)
2021Q4,1.51,8.0,95.7,5.6,2.6,-0.4,2.6,14.7,Recovery(성장>긴축)
2022Q1,2.33,70.0,98.3,-5.5,-10.2,2.2,8.3,31.8,긴축/리스크오프(Overheat→Stagflation懸)
2022Q2,2.97,59.0,104.7,-16.7,-22.7,6.1,-6.0,6.5,긴축/리스크오프(Overheat→Stagflation懸)
2022Q3,3.8,91.0,112.1,-6.3,-5.0,6.6,-7.6,-26.7,긴축/리스크오프(Overheat→Stagflation懸)
2022Q4,3.88,23.0,103.5,4.4,-3.2,-7.4,7.5,-4.0,Recovery(성장>긴축)
2023Q1,3.49,-30.0,102.5,7.5,17.7,-1.9,7.0,-1.6,Reflation/Recovery(완화+성장)
2023Q2,3.82,39.0,102.9,7.9,13.1,0.8,-3.2,-12.2,Recovery(성장>긴축)
2023Q3,4.57,71.0,106.2,-3.8,-4.3,3.1,-3.8,30.1,긴축/리스크오프(Overheat→Stagflation懸)
2023Q4,3.87,-82.0,101.3,11.2,12.8,-5.2,12.7,-19.3,Reflation/Recovery(완화+성장)
2024Q1,4.21,26.0,104.6,10.8,10.9,2.3,7.4,18.2,Recovery(성장>긴축)
2024Q2,4.34,1.0,105.9,4.1,8.1,0.8,4.1,-2.6,Reflation/Recovery(완화+성장)
2024Q3,3.8,-68.0,100.8,5.2,1.7,-4.8,13.3,-18.2,Reflation/Recovery(완화+성장)
2024Q4,4.18,44.0,106.3,6.6,10.2,5.1,-0.5,-1.8,Recovery(성장>긴축)
